,path,modality,dataset_features,method,dataset,features,mdata_spatial_path,jsd,rmse
0,/vol/storage/data/deconvolution_results/test2/cluster_mode/atac/russell_250_highly_variable/tangram_ct_pred.csv,atac,russell_250_highly_variable,tangram,russell_250,highly_variable,/vol/storage/data/simulations/russell_250.h5mu,0.49415050021888446,0.1830196354227933
1,/vol/storage/data/deconvolution_results/test2/cluster_mode/atac/russell_250_highly_accessible/tangram_ct_pred.csv,atac,russell_250_highly_accessible,tangram,russell_250,highly_accessible,/vol/storage/data/simulations/russell_250.h5mu,0.5084691690395918,0.18142262945421603
2,/vol/storage/data/deconvolution_results/test2/cluster_mode/atac/Heart_1_highly_accessible/tangram_ct_pred.csv,atac,Heart_1_highly_accessible,tangram,Heart_1,highly_accessible,/vol/storage/data/simulations/Heart_1.h5mu,0.9241125052903509,0.24188493850249632
3,/vol/storage/data/deconvolution_results/test2/cluster_mode/atac/Heart_4_highly_variable/tangram_ct_pred.csv,atac,Heart_4_highly_variable,tangram,Heart_4,highly_variable,/vol/storage/data/simulations/Heart_4.h5mu,0.7220760815752538,0.17772533808924518
4,/vol/storage/data/deconvolution_results/test2/cluster_mode/atac/Heart_2_highly_accessible/tangram_ct_pred.csv,atac,Heart_2_highly_accessible,tangram,Heart_2,highly_accessible,/vol/storage/data/simulations/Heart_2.h5mu,0.67881397016127,0.15414359193315477
5,/vol/storage/data/deconvolution_results/test2/cluster_mode/atac/Heart_3_highly_variable/tangram_ct_pred.csv,atac,Heart_3_highly_variable,tangram,Heart_3,highly_variable,/vol/storage/data/simulations/Heart_3.h5mu,0.6304666677565607,0.14951364063186753
6,/vol/storage/data/deconvolution_results/test2/cluster_mode/atac/Heart_4_highly_accessible/tangram_ct_pred.csv,atac,Heart_4_highly_accessible,tangram,Heart_4,highly_accessible,/vol/storage/data/simulations/Heart_4.h5mu,0.7785591618620448,0.19739955750020277
7,/vol/storage/data/deconvolution_results/test2/cluster_mode/atac/Heart_2_highly_variable/tangram_ct_pred.csv,atac,Heart_2_highly_variable,tangram,Heart_2,highly_variable,/vol/storage/data/simulations/Heart_2.h5mu,0.624793952476216,0.13519340035373353
8,/vol/storage/data/deconvolution_results/test2/cluster_mode/atac/Heart_1_highly_variable/tangram_ct_pred.csv,atac,Heart_1_highly_variable,tangram,Heart_1,highly_variable,/vol/storage/data/simulations/Heart_1.h5mu,0.9049397428197017,0.22948857918585275
0,/vol/storage/data/deconvolution_results/test2/cluster_mode/rna/russell_250_highly_variable/tangram_ct_pred.csv,rna,russell_250_highly_variable,tangram,russell_250,highly_variable,/vol/storage/data/simulations/russell_250.h5mu,0.4625126067606009,0.16659154552631456
1,/vol/storage/data/deconvolution_results/test2/cluster_mode/rna/Heart_4_highly_variable/tangram_ct_pred.csv,rna,Heart_4_highly_variable,tangram,Heart_4,highly_variable,/vol/storage/data/simulations/Heart_4.h5mu,0.5715542980651679,0.1272637262287281
2,/vol/storage/data/deconvolution_results/test2/cluster_mode/rna/Heart_3_highly_variable/tangram_ct_pred.csv,rna,Heart_3_highly_variable,tangram,Heart_3,highly_variable,/vol/storage/data/simulations/Heart_3.h5mu,0.46312126462636916,0.09935182447878921
3,/vol/storage/data/deconvolution_results/test2/cluster_mode/rna/Heart_2_highly_variable/tangram_ct_pred.csv,rna,Heart_2_highly_variable,tangram,Heart_2,highly_variable,/vol/storage/data/simulations/Heart_2.h5mu,0.4906427832418335,0.08769617304457544
4,/vol/storage/data/deconvolution_results/test2/cluster_mode/rna/Heart_1_highly_variable/tangram_ct_pred.csv,rna,Heart_1_highly_variable,tangram,Heart_1,highly_variable,/vol/storage/data/simulations/Heart_1.h5mu,0.780528642810294,0.1870214952009257
